FIPS,County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,bivairate_colorCode,vaxRate_colorCode,caseRate_colorCode
27127,Redwood County,MN,191.17,44.3,94.2,#8FD3C2,#8FD3C2,#E6E6E6
27129,Renville County,MN,192.47,46,94.2,#8FD3C2,#8FD3C2,#E6E6E6
27131,Rice County,MN,192.62,54.2,94.2,#65C7A6,#65C7A6,#E6E6E6
27133,,,359,40,,#797691,#8FD3C2,#D47A91
27135,Roseau County,MN,230.79,44.1,94.2,#85B0BC,#8FD3C2,#DCB2BD
27137,St. Louis County,MN,176.82,56.3,94.2,#65C7A6,#65C7A6,#E6E6E6
27139,Scott County,MN,184.55,57.2,94.2,#65C7A6,#65C7A6,#E6E6E6
27141,Sherburne County,MN,203.62,36.4,94.2,#BDDFD6,#BDDFD6,#E6E6E6
27143,Sibley County,MN,343.09,39.4,94.2,#B2B0BC,#BDDFD6,#DCB2BD
27145,Stearns County,MN,202.39,47,94.2,#8FD3C2,#8FD3C2,#E6E6E6
27147,Steele County,MN,603.02,51.3,94.2,#2C1843,#65C7A6,#CD334C
27149,Stevens County,MN,234.57,48.1,94.2,#5AACA4,#65C7A6,#DCB2BD
27151,,,359,40,,#797691,#8FD3C2,#D47A91
27153,Todd County,MN,194.62,35.1,94.2,#BDDFD6,#BDDFD6,#E6E6E6
27155,,,359,40,,#797691,#8FD3C2,#D47A91
27157,Wabasha County,MN,231.19,61.3,94.2,#5AACA4,#65C7A6,#DCB2BD
27159,Wadena County,MN,263.12,41.3,94.2,#85B0BC,#8FD3C2,#DCB2BD
27161,Waseca County,MN,359.98,48.5,94.2,#42728B,#65C7A6,#D47A91
27163,Washington County,MN,164.61,57.5,94.2,#65C7A6,#65C7A6,#E6E6E6
27165,Watonwan County,MN,321.19,47.8,94.2,#85B0BC,#8FD3C2,#DCB2BD
27167,,,359,40,,#797691,#8FD3C2,#D47A91
27169,Winona County,MN,307.03,51.6,94.2,#5AACA4,#65C7A6,#DCB2BD
27171,Wright County,MN,255.82,44.5,94.2,#85B0BC,#8FD3C2,#DCB2BD
27173,Yellow Medicine County,MN,133.9,48.2,94.2,#65C7A6,#65C7A6,#E6E6E6
28001,Adams County,MS,283.45,42.8,98.3,#85B0BC,#8FD3C2,#DCB2BD
28003,Alcorn County,MS,438.39,30.9,98.3,#D47A91,#E6E6E6,#D47A91
28005,Amite County,MS,471.66,30.8,98.3,#D47A91,#E6E6E6,#D47A91
28007,Attala County,MS,885.88,42,98.3,#6E1E45,#8FD3C2,#CD334C
28009,Benton County,MS,508.54,39.7,98.3,#797691,#8FD3C2,#D47A91
28011,Bolivar County,MS,346.09,48,98.3,#5AACA4,#65C7A6,#DCB2BD
28013,Calhoun County,MS,675.44,32.5,98.3,#A52948,#BDDFD6,#CD334C
28015,Carroll County,MS,392.08,33.6,98.3,#AA778E,#BDDFD6,#D47A91
28017,Chickasaw County,MS,397.59,39.1,98.3,#AA778E,#BDDFD6,#D47A91
28019,Choctaw County,MS,523.75,28.7,98.3,#D47A91,#E6E6E6,#D47A91
28021,Claiborne County,MS,189.14,43.9,98.3,#8FD3C2,#8FD3C2,#E6E6E6
28023,Clarke County,MS,373.21,42.9,98.3,#797691,#8FD3C2,#D47A91
28025,Clay County,MS,326.15,37.5,98.3,#B2B0BC,#BDDFD6,#DCB2BD
28027,Coahoma County,MS,311.88,39.3,98.3,#B2B0BC,#BDDFD6,#DCB2BD
28029,Copiah County,MS,716.19,43.2,98.3,#6E1E45,#8FD3C2,#CD334C
28031,Covington County,MS,461.47,39.6,98.3,#AA778E,#BDDFD6,#D47A91
28033,DeSoto County,MS,494.74,40.9,98.3,#797691,#8FD3C2,#D47A91
28035,Forrest County,MS,371.18,33.2,98.3,#AA778E,#BDDFD6,#D47A91
28037,Franklin County,MS,557.5,37.8,98.3,#A52948,#BDDFD6,#CD334C
28039,George County,MS,400,30.3,98.3,#D47A91,#E6E6E6,#D47A91
28041,Greene County,MS,294.42,29.8,98.3,#DCB2BD,#E6E6E6,#DCB2BD
28043,Grenada County,MS,472.11,41.7,98.3,#797691,#8FD3C2,#D47A91
28045,Hancock County,MS,529.06,32.1,98.3,#D47A91,#E6E6E6,#D47A91
28047,Harrison County,MS,514.71,41.9,98.3,#797691,#8FD3C2,#D47A91
28049,Hinds County,MS,289.86,47.3,98.3,#85B0BC,#8FD3C2,#DCB2BD
28051,Holmes County,MS,558.5,47.4,98.3,#6E1E45,#8FD3C2,#CD334C
28053,Humphreys County,MS,359.62,45.1,98.3,#797691,#8FD3C2,#D47A91
28055,,,359,40,,#797691,#8FD3C2,#D47A91
28057,Itawamba County,MS,508.76,28.6,98.3,#D47A91,#E6E6E6,#D47A91
28059,Jackson County,MS,508.99,35.3,98.3,#AA778E,#BDDFD6,#D47A91
28061,Jasper County,MS,366.23,39,98.3,#AA778E,#BDDFD6,#D47A91
28063,,,359,40,,#797691,#8FD3C2,#D47A91
28065,Jefferson Davis County,MS,422.36,35,98.3,#AA778E,#BDDFD6,#D47A91
28067,Jones County,MS,703.4,33.7,98.3,#A52948,#BDDFD6,#CD334C
28069,Kemper County,MS,482.45,35.9,98.3,#AA778E,#BDDFD6,#D47A91
28071,Lafayette County,MS,381.35,46.6,98.3,#797691,#8FD3C2,#D47A91
28073,Lamar County,MS,307.85,48.6,98.3,#5AACA4,#65C7A6,#DCB2BD
28075,Lauderdale County,MS,310.29,41.4,98.3,#85B0BC,#8FD3C2,#DCB2BD
28077,Lawrence County,MS,405.21,45.1,98.3,#797691,#8FD3C2,#D47A91
28079,Leake County,MS,443.25,37.1,98.3,#AA778E,#BDDFD6,#D47A91
28081,Lee County,MS,459.99,36.2,98.3,#AA778E,#BDDFD6,#D47A91
28083,Leflore County,MS,219.99,50.1,98.3,#65C7A6,#65C7A6,#E6E6E6
28085,Lincoln County,MS,503.62,30.6,98.3,#D47A91,#E6E6E6,#D47A91
28087,Lowndes County,MS,684.36,40.9,98.3,#6E1E45,#8FD3C2,#CD334C
28089,Madison County,MS,366.04,53.8,98.3,#42728B,#65C7A6,#D47A91
28091,Marion County,MS,569.73,35.1,98.3,#A52948,#BDDFD6,#CD334C
28093,Marshall County,MS,473.17,41.2,98.3,#797691,#8FD3C2,#D47A91
28095,Monroe County,MS,558.83,41.3,98.3,#6E1E45,#8FD3C2,#CD334C
28097,Montgomery County,MS,593.35,44.8,98.3,#6E1E45,#8FD3C2,#CD334C
28099,Neshoba County,MS,607.87,31.2,98.3,#CD334C,#E6E6E6,#CD334C
28101,Newton County,MS,561.42,42.1,98.3,#6E1E45,#8FD3C2,#CD334C
28103,Noxubee County,MS,422.39,45.9,98.3,#797691,#8FD3C2,#D47A91
28105,Oktibbeha County,MS,354.93,43.4,98.3,#85B0BC,#8FD3C2,#DCB2BD
28107,Panola County,MS,444.55,35.6,98.3,#AA778E,#BDDFD6,#D47A91
28109,Pearl River County,MS,632.03,35,98.3,#A52948,#BDDFD6,#CD334C
28111,Perry County,MS,718.28,28.8,98.3,#CD334C,#E6E6E6,#CD334C
28113,Pike County,MS,587.97,39.3,98.3,#A52948,#BDDFD6,#CD334C
28115,Pontotoc County,MS,832.97,33.9,98.3,#A52948,#BDDFD6,#CD334C
28117,Prentiss County,MS,413.91,35.2,98.3,#AA778E,#BDDFD6,#D47A91
28119,Quitman County,MS,220.85,39.1,98.3,#BDDFD6,#BDDFD6,#E6E6E6
28121,Rankin County,MS,387.71,42.9,98.3,#797691,#8FD3C2,#D47A91
28123,Scott County,MS,529.8,39.3,98.3,#AA778E,#BDDFD6,#D47A91
28125,Sharkey County,MS,277.71,44.6,98.3,#85B0BC,#8FD3C2,#DCB2BD
28127,Simpson County,MS,607.7,36,98.3,#A52948,#BDDFD6,#CD334C
28129,Smith County,MS,326.72,26.6,98.3,#DCB2BD,#E6E6E6,#DCB2BD
28131,Stone County,MS,447.21,35.2,98.3,#AA778E,#BDDFD6,#D47A91
28133,Sunflower County,MS,199.12,42.7,98.3,#8FD3C2,#8FD3C2,#E6E6E6
