FIPS,County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,bivairate_colorCode,vaxRate_colorCode,caseRate_colorCode
20047,,,359,40,,#797691,#8FD3C2,#D47A91
20049,Elk County,KS,434.78,28.1,93.6,#D47A91,#E6E6E6,#D47A91
20051,Ellis County,KS,273.18,40.8,93.6,#85B0BC,#8FD3C2,#DCB2BD
20053,Ellsworth County,KS,196.66,47.3,93.6,#8FD3C2,#8FD3C2,#E6E6E6
20055,Finney County,KS,334.55,33,93.6,#B2B0BC,#BDDFD6,#DCB2BD
20057,Ford County,KS,389.66,33.4,93.6,#AA778E,#BDDFD6,#D47A91
20059,Franklin County,KS,438.46,42.3,93.6,#797691,#8FD3C2,#D47A91
20061,Geary County,KS,341.02,53,93.6,#5AACA4,#65C7A6,#DCB2BD
20063,Gove County,KS,644.92,41.8,93.6,#6E1E45,#8FD3C2,#CD334C
20065,,,359,40,,#797691,#8FD3C2,#D47A91
20067,Grant County,KS,293.71,38.3,93.6,#B2B0BC,#BDDFD6,#DCB2BD
20069,Gray County,KS,167,36.2,93.6,#BDDFD6,#BDDFD6,#E6E6E6
20071,,,359,40,,#797691,#8FD3C2,#D47A91
20073,Greenwood County,KS,785.69,42.3,93.6,#6E1E45,#8FD3C2,#CD334C
20075,,,359,40,,#797691,#8FD3C2,#D47A91
20077,Harper County,KS,423.11,39.3,93.6,#AA778E,#BDDFD6,#D47A91
20079,Harvey County,KS,363.07,38.3,93.6,#AA778E,#BDDFD6,#D47A91
20081,,,359,40,,#797691,#8FD3C2,#D47A91
20083,Hodgeman County,KS,0,39.3,93.6,#BDDFD6,#BDDFD6,#E6E6E6
20085,Jackson County,KS,402.4,54,93.6,#42728B,#65C7A6,#D47A91
20087,Jefferson County,KS,614.4,45.7,93.6,#6E1E45,#8FD3C2,#CD334C
